Qty,Reference,Stuff,Manufacturer,Manufacturer Part Number,Vendor,Vendor Part Number
16,F1-4,,Littelfuse,01020078H,Digi-Key,F042-ND
2,J1,,Sullins,SBH11-NBPC-D12-SM-BK,Digi-Key,S9189-ND
25,J2-13,,Keystone Electronics,1287-ST,Digi-Key,36-1287-ST-ND
5,J14,,,,,36-1266-ND
25,Q1 Q9-16 Q20-21,,Fairchild,2N7002,Digi-Key,2N7002NTR-ND
25,R18 R39-40 R51-52 R63-64 R75,,TE Connectivity Passive Product,3521150KFT,Digi-Key,A116084CT-ND
25,R6-9,,TE Connectivity Passive Product,35211M0FT,Digi-Key,A116104CT-ND
25,U1-4 U6-7 U10-11 U16-17 U20-21,,Lite-On,6N136S-TA1,Digi-Key,160-1790-1-ND
30,D5-8 D21-28 D35-36,,Diodes Inc.,B360A-13-F,Digi-Key,B360A-FDICT-ND
25,D1-4 D11-14,,Diodes Inc.,BAV99-7-F,Digi-Key,BAV99-FDICT-ND
50,C14 C16-17 C19 C30 C32-34 C47 C49-51 C59 C61-63,,Murata,GRM155R61E104KA87D,Digi-Key,490-5920-1-ND
50,C12 C23 C28 C37 C45 C54 C57 C66,,Murata,GRM155R71H223KA12D,Digi-Key,490-3884-1-ND
50,C2 C24-25 C38 C44,,Murata,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
50,C40-42,,Murata,GRM155R72A102KA01D,Digi-Key,490-6366-1-ND
50,C15 C20 C31 C35 C48 C52 C60 C64,,Murata,GRM188R6YA475KE15D,Digi-Key,490-7205-1-ND
50,C13 C22 C29 C36 C46 C53 C58 C65,,Murata,GRM188R6YA475KE15D,Digi-Key,490-7205-1-ND
10,C1 C18 C21,,Murata,GRM21BR61A106KE19L,Digi-Key,490-1709-1-ND
25,FB1-8,,Murata,BLM18KG471SN1D,DIGIKEY,490-5257-1-ND
5,U13-14,,Texas Instruments,SN74LVC3G07DCTR,Digi-Key,TC74HC595AFNF-ND
36,D9-10 D19-20 D29-30 D37-40 D45-48 D53-54,,On Semi,MM3Z7V5ST1G,Digi-Key,MM3Z7V5ST1GOSCT-ND
16,TV1-8,,Bourns,,,MOV-14D471KTRCT-ND
20,Q2 Q5 Q8 Q17 Q24-25 Q30-31 Q36,,Nexperia,PBHV2160ZX,Digi-Key,1727-2365-1-ND
50,R31 R33 R44 R47 R56 R59 R67 R71,,Panasonic - ECG,ERJ-2GEJ121X,Digi-Key,P120JCT-ND
100,R5 R14-17 R19-22 R24 R30 R32 R36 R42 R45-46 R50 R54 R57-58 R62 R66 R68 R70 R74,,Panasonic - ECG,ERJ-2RKF1001X,Digi-Key,P1.00KLCT-ND
50,R1-4 R29 R34 R43 R48 R55 R60 R69 R72,,Panasonic - ECG,ERJ-2RKF1004X,,P1.00MLCT-ND
50,R23 R35 R41 R49 R53 R61 R65 R73,,Panasonic - ECG,ERJ-2RKF2051X,Digi-Key,P2.05KLCT-ND
50,R37,,Panasonic - ECG,ERJ-2RKF4021X,Digi-Key,P4.02KLCT-ND
50,R10-13 R25-28,,Panasonic - ECG,ERJ-2RKF49R9X,Digi-Key,P49.9LCT-ND
50,R38,,Panasonic - ECG,ERJ-2RKF6041X,Digi-Key,P6.04KLCT-ND
40,D15-18 D31-34 D41-44 D49-52,,Fairchild/ON Semiconductor,RS1M,Digi-Key,RS1MFSCT-ND
16,K3-10,,TE,7-1415899-6,Digi-Key,7-1415899-6-ND
32,Q3-4 Q6-7 Q18-19 Q22-23 Q26-29 Q32-35,,ST Micro,STB32NM50N,Digi-Key,497-13264-1-ND
5,K1-2,,TE Connectivity,T9AS5D12-5,Digi-Key,T9AS5D12-5-ND
25,U5 U8-9 U12 U15 U18-19 U22,,Diodes Inc.,ZXGD3005E6TA,Digi-Key,ZXGD3005E6TADICT-ND
